model,mse,rmse,mae,r2,scope,asset
persistence,0.001990863942445049,0.03421776114117673,0.021681994471509505,-0.14022243865979206,pooled,
ridge,0.003277196990677305,0.043433723831272225,0.03248446880925684,-33.063661559023984,pooled,
persistence,0.0004005865440899134,0.0173922186705549,0.00996301504752062,-0.07520109794359556,asset,ES
ridge,0.0034639743136651276,0.035977520293626115,0.02743710633290442,-97.98411879176683,asset,ES
persistence,0.004739326109719289,0.060404251201843166,0.03981921434178485,-0.1343727720848587,asset,CL
ridge,0.0054737252712369075,0.0679869308845399,0.051751393775666045,-0.6569107366011064,asset,CL
persistence,0.0008326791735259441,0.024856813551132104,0.015263754025223043,-0.21109344595092192,asset,GC
ridge,0.0008938913871298787,0.026336720315650694,0.01826490631920007,-0.5499551487040081,asset,GC
