model,mse,rmse,mae,r2,scope,asset
persistence,0.003810416316917224,0.048133065311881065,0.03539804551105602,-1.3920901857406975,pooled,
ridge,0.004150208569991171,0.04532902503349793,0.034599817975179796,-60.52635839109529,pooled,
persistence,0.0008983057045925618,0.025733773557101634,0.01730434811332812,-1.4259950758614046,asset,ES
ridge,0.006119742098690553,0.041982202183077494,0.03306033687541313,-180.24394325492293,asset,ES
persistence,0.008831604804545982,0.08324091611765487,0.06358717253372154,-1.2802435038544464,asset,CL
ridge,0.005431679844512149,0.06742076910479197,0.051971882897972076,-0.6814681902817904,asset,CL
persistence,0.0017013384416131273,0.03542450626088668,0.02530261588611841,-1.4700319775062418,asset,GC
ridge,0.0008992037667708147,0.026584103812624313,0.018767234152154175,-0.6536637280811499,asset,GC
